,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
106,15,4.76,103.46,63.5,6.88,7.09,Big East,Butler,9.92,-2.34,68.7,96.59,10,-5.16
107,2,4.69,103.72,78.9,6.59,-1.60,Big South,Winthrop,-7.15,6.28,67.0,97.13,23,11.84
108,12,4.19,102.81,68.4,6.84,6.58,AAC,Tulsa,5.43,-2.39,65.6,95.97,11,2.78
109,8,4.12,103.12,70.2,7.58,5.11,Big West,UC Riverside,-2.43,-0.99,63.6,95.53,14,6.55
110,6,4.06,109.15,74.4,8.13,5.12,A-Sun,Liberty,-6.14,-1.06,60.0,101.02,23,14.41
111,8,4.03,107.52,78.3,5.79,-3.26,Big Sky,Eastern Washington,-3.15,7.29,70.4,101.72,16,7.88
112,11,3.99,103.52,68.9,6.71,1.15,AAC,Cincinnati,7.21,2.85,72.1,96.81,12,-3.22
113,9,3.48,102.12,73.0,5.96,4.10,Southern,UNC Greensboro,-2.15,-0.62,67.3,96.16,21,5.63
114,4,3.46,108.76,81.3,5.27,-3.16,OVC,Belmont,-8.71,6.62,69.1,103.49,26,12.17
115,9,3.46,99.30,72.2,6.72,6.00,Big West,UC Irvine,-0.86,-2.53,63.4,92.58,18,8.81
116,15,3.39,104.27,72.5,6.50,-3.74,SEC,South Carolina,10.01,7.13,79.1,97.77,6,-6.62
117,7,3.27,110.24,80.4,5.74,-4.93,Summit,South Dakota State,-2.05,8.20,73.5,104.50,16,6.96
118,17,3.23,102.51,66.4,5.34,3.51,ACC,Miami (FL),7.75,-0.27,71.0,97.17,10,-4.52
119,6,3.14,107.56,81.8,4.44,-3.41,Big Sky,Weber State,-5.22,6.55,69.3,103.12,17,12.48
120,14,2.67,98.06,65.8,4.07,3.09,Big East,DePaul,8.83,-0.42,71.9,93.99,5,-6.16
121,9,2.64,102.91,69.8,4.85,3.51,WCC,Pacific,5.23,-0.87,70.7,98.07,9,-0.89
122,14,2.61,104.14,66.8,3.95,2.63,Big 12,TCU,6.99,-0.03,71.2,100.19,12,-4.38
123,11,2.57,102.04,65.8,4.68,3.27,AAC,Temple,5.57,-0.70,68.8,97.37,5,-3.00
124,9,2.32,100.44,66.9,4.07,3.22,A-10,Duquesne,2.49,-0.90,67.1,96.37,9,-0.17
125,10,2.20,101.62,64.3,3.57,6.62,SEC,Texas A&M,4.86,-4.43,66.9,98.05,8,-2.67
126,10,2.04,101.95,66.5,4.05,4.51,MVC,Indiana State,1.91,-2.47,65.8,97.89,15,0.68
127,5,1.99,105.47,73.0,3.91,0.88,AEC,Vermont,-7.61,1.11,63.4,101.55,10,9.60
128,9,1.91,100.41,71.3,3.29,1.71,A-10,George Mason,0.48,0.20,69.9,97.11,13,1.41
129,21,1.88,103.37,67.7,4.32,-1.16,Pac-12,Washington,11.61,3.05,77.4,99.05,5,-9.73
130,8,1.85,105.94,78.2,3.32,-1.12,MAC,Akron,-1.96,2.97,72.2,102.62,15,6.00
131,9,1.76,105.08,74.3,3.47,2.02,Southern,Wofford,-0.24,-0.26,67.8,101.61,15,6.54
132,8,1.74,103.70,76.7,3.00,-1.09,MAC,Kent State,-1.90,2.83,71.1,100.70,15,5.61
133,11,1.73,107.25,81.1,3.09,-5.36,Summit,Oral Roberts,-0.04,7.09,75.6,104.16,18,5.52
134,16,1.72,102.24,66.3,2.34,2.75,ACC,Wake Forest,8.06,-1.03,72.0,99.89,6,-5.68
135,12,1.65,102.61,69.4,3.20,4.54,Southern,East Tennessee State,0.30,-2.90,66.2,99.41,13,3.28
136,11,1.28,105.50,76.7,2.38,-0.97,Southern,Mercer,-1.60,2.25,71.8,103.13,18,4.93
137,12,1.07,102.41,70.8,2.44,1.75,CUSA (West),UTEP,1.26,-0.69,68.5,99.98,12,2.25
138,13,1.03,100.00,63.9,2.57,4.29,AAC,Tulane,3.59,-3.26,66.5,97.43,10,-2.57
139,3,1.02,104.19,71.5,1.79,1.51,Patriot (South),Navy,-3.48,-0.49,67.0,102.39,15,4.50
140,11,1.00,98.70,66.8,2.51,3.25,AAC,East Carolina,3.83,-2.25,67.9,96.19,8,-1.16
141,16,0.82,105.07,71.4,2.60,-4.16,ACC,Boston College,8.97,4.98,79.5,102.47,4,-8.15
142,20,0.76,100.12,61.8,1.48,5.44,Big 12,Kansas State,9.04,-4.68,70.2,98.64,9,-8.45
143,4,0.63,107.19,84.2,1.50,-5.34,Big Sky,Southern Utah,-5.69,5.97,69.5,105.69,20,14.67
144,16,0.32,102.40,69.6,1.28,2.54,MVC,Bradley,1.17,-2.22,66.6,101.12,12,3.00
145,10,0.06,99.28,71.7,0.03,1.41,Patriot (North),Army,0.63,-1.35,69.5,99.26,12,2.23
146,13,-0.02,101.12,65.9,0.48,1.68,AAC,South Florida,6.27,-1.70,71.4,100.64,9,-5.55
147,8,-0.05,99.11,69.7,1.13,0.59,WCC,Santa Clara,2.16,-0.63,70.6,97.98,12,-0.95
148,7,-0.11,103.40,78.1,0.66,-4.46,CAA,James Madison,-3.17,4.35,70.5,102.74,13,7.65
149,11,-0.13,102.20,69.7,1.53,4.58,Big West,Cal State Bakersfield,-2.38,-4.70,64.0,100.68,15,5.62
150,12,-0.17,103.02,77.5,0.18,-3.43,MAC,Bowling Green State,-2.37,3.26,74.6,102.84,14,2.92
