,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
301,5,19,-4.13,508,196,.406,618,6,1280,1720,652,.362,793,1009,9,-3.40,UC Davis,244,2338,259,.461,498,7,9,13,.779,674,70,2372,456,32,8
302,6,19,-5.80,397,153,.387,567,5,1250,1658,524,.403,708,937,8,-1.80,UC Irvine,215,2028,282,.427,389,8,10,12,.758,534,56,2134,358,31,7
303,11,13,-5.22,325,202,.567,517,6,,1540,476,.377,653,991,8,-3.76,UC Riverside,175,1806,331,.424,364,8,10,17,.683,464,50,1818,407,30,2
304,10,15,-1.74,443,216,.516,589,3,1245,1595,638,.334,712,1015,8,-1.10,UC Santa Barbara,163,2030,323,.446,393,8,10,16,.694,488,79,2021,485,31,4
305,16,9,18.64,446,292,.743,598,6,1405,1973,616,.399,967,1151,5,7.19,UCLA,262,2642,395,.490,541,13,4,26,.724,656,110,2241,440,35,2
306,11,16,-11.34,449,252,.484,556,4,,1799,655,.360,800,1085,8,-4.19,UNC Asheville,212,2261,362,.445,497,10,13,15,.685,589,131,2410,509,31,3
307,2,25,-16.01,396,162,.167,572,3,,1657,611,.314,659,1070,16,-4.33,UNC Greensboro,174,1888,394,.398,316,4,14,5,.648,554,112,2216,456,30,10
308,5,25,-13.82,392,208,.219,575,1,1300,1953,576,.334,809,1051,15,-0.66,UNC Wilmington,270,2280,327,.414,446,3,15,7,.681,808,37,2673,451,32,9
309,9,14,-2.37,478,206,.533,594,7,1210,1761,637,.338,830,1076,7,-3.37,UT Arlington,203,2341,326,.471,455,9,10,16,.750,601,68,2223,412,30,2
310,13,10,12.59,541,171,.706,632,6,1370,1727,693,.369,819,1193,4,5.72,Utah,242,2421,279,.474,458,12,7,24,.781,655,166,2195,469,34,2
311,17,5,9.33,514,168,.857,539,11,,1813,695,.394,899,1202,2,0.07,Utah State,222,2534,365,.496,566,14,3,30,.740,563,88,2169,393,35,0
312,8,11,,436,118,.607,509,3,,1442,567,.393,673,971,,,Utah Valley,199,1981,271,.467,370,,5,17,.769,506,74,1787,355,28,3
313,13,14,6.67,731,250,.622,812,8,,2200,1021,.312,931,1396,6,3.21,UTEP,195,2788,474,.423,504,10,6,23,.716,625,148,2660,458,37,5
314,11,13,-4.67,526,296,.594,601,6,1300,1906,743,.344,805,1131,8,-4.17,UTSA,268,2404,378,.422,376,8,9,19,.708,778,72,2285,448,32,3
315,8,22,-4.43,339,235,.290,641,1,,1611,554,.329,678,971,13,2.22,Valparaiso,205,1900,329,.421,403,5,12,9,.612,624,52,2031,466,31,6
316,14,12,8.18,515,174,.613,549,3,1240,1642,719,.339,740,1144,8,3.81,Vanderbilt,190,2185,334,.451,389,8,7,19,.716,561,137,2033,466,31,4
317,12,9,4.64,581,258,.727,625,10,1350,1834,831,.369,883,1165,3,-4.27,Vermont,186,2533,357,.481,518,13,5,24,.699,504,165,2222,483,33,3
318,16,8,17.45,692,300,.789,735,8,,2193,919,.352,990,1449,5,8.72,Villanova,247,2919,477,.451,551,13,3,30,.753,701,128,2560,505,38,2
319,9,18,5.87,402,179,.357,531,1,1130,1682,543,.316,701,1030,12,8.34,Virginia,156,1960,360,.417,348,4,9,10,.740,494,112,2029,413,28,8
320,16,10,7.70,486,257,.706,654,7,,1878,689,.369,866,1152,4,-0.65,Virginia Commonwealth,222,2440,362,.461,469,14,6,24,.705,601,155,2156,431,34,1
321,13,8,-3.30,546,453,.750,598,10,1290,2279,742,.358,1009,1068,5,-7.49,VMI,438,3002,394,.443,581,13,5,24,.736,1224,105,2737,449,32,3
322,10,15,8.79,573,221,.559,620,5,1385,1934,791,.337,845,1257,9,6.88,Virginia Tech,207,2470,416,.437,454,7,6,19,.724,615,155,2405,458,34,6
323,8,14,-10.39,366,211,.533,531,8,1205,1607,585,.384,717,1000,10,-8.60,Wagner,221,2021,304,.446,417,8,8,16,.626,576,96,2049,451,30,6
324,14,7,15.63,572,258,.774,584,7,,1849,804,.320,906,1262,5,7.36,Wake Forest,126,2510,390,.490,405,11,4,24,.711,394,176,2193,492,31,1
325,18,9,16.78,650,259,.743,683,6,,2136,929,.337,977,1437,4,8.19,Washington,146,2750,532,.457,458,14,4,26,.700,433,95,2431,515,35,1
326,9,16,11.29,343,124,.515,496,5,,1649,446,.345,715,1076,10,7.50,Washington State,181,1954,268,.434,410,8,7,17,.769,525,142,1829,376,33,7
327,10,10,1.11,460,183,.677,596,9,1255,1566,630,.376,739,997,1,-2.39,Weber State,237,2175,220,.472,375,15,6,21,.730,631,114,2055,445,31,3
328,11,12,18.57,518,233,.657,661,7,1405,2067,742,.329,886,1340,8,8.34,West Virginia,231,2521,532,.429,530,10,5,23,.698,703,159,2163,420,35,3
329,11,15,-7.17,380,298,.516,700,3,1245,1905,599,.351,840,1121,9,-5.13,Western Carolina,233,2293,450,.441,385,11,11,16,.634,663,85,2251,444,31,2
330,5,20,-10.86,308,163,.310,512,3,1165,1416,434,.400,615,795,12,-4.04,Western Illinois,163,1701,254,.434,357,6,12,9,.710,408,51,1889,369,29,6
331,13,9,3.68,446,193,.735,587,7,1360,1929,647,.373,871,1251,3,-1.23,Western Kentucky,266,2454,432,.452,454,15,7,25,.689,714,111,2278,452,34,0
332,7,21,-5.69,452,167,.323,641,3,1250,1612,645,.311,634,1061,9,-3.19,Western Michigan,198,1918,328,.393,338,7,10,10,.701,636,97,2004,412,31,7
333,14,17,2.05,408,216,.500,615,1,,1762,595,.322,771,1154,10,2.08,Wichita State,188,2138,391,.438,453,8,11,17,.686,583,113,2124,474,34,3
334,7,20,-5.97,326,180,.333,503,2,,1592,501,.309,658,1023,13,-2.79,William & Mary,202,1844,331,.413,409,5,11,10,.651,653,69,1903,425,30,8
335,1,22,,329,247,.267,599,4,,1646,578,.280,639,1010,,,Winston-Salem,134,1741,,.388,283,,10,8,.569,479,83,2022,527,30,8
336,7,19,-11.46,301,197,.367,547,4,1210,1712,448,.284,695,1031,9,-4.54,Winthrop,142,1833,359,.406,332,9,12,11,.672,500,118,1991,403,30,6
337,13,13,12.43,423,163,.606,532,4,1340,1686,583,.360,735,1020,8,8.43,Wisconsin,213,2106,317,.436,393,10,7,20,.726,592,86,1948,330,33,3
338,8,14,-7.04,423,187,.533,468,8,,1602,614,.363,727,1022,8,-5.45,Wofford,188,2065,377,.454,398,12,9,16,.689,518,44,2070,404,30,4
339,11,13,3.20,461,200,.606,611,5,1330,1644,667,.323,673,1043,6,0.23,Wright State,188,1995,318,.409,373,12,9,20,.691,582,79,1897,408,33,4
340,12,14,0.67,668,157,.576,571,3,1330,1721,919,.360,796,1188,9,3.53,Wyoming,211,2471,285,.463,413,7,9,19,.727,586,118,2450,470,33,4
341,14,8,14.45,575,185,.771,653,7,,1846,851,.394,847,1378,4,4.65,Xavier,239,2508,420,.459,464,12,4,27,.676,607,178,2165,511,35,1
342,8,15,-7.29,380,194,.464,528,5,,1448,574,.296,646,935,6,-5.17,Yale,100,1772,291,.446,374,8,12,13,.662,338,88,1784,434,28,3
343,7,19,-5.25,398,168,.367,585,4,1205,1712,612,.337,709,1066,11,-0.11,Youngstown State,165,1981,386,.414,390,7,10,11,.650,490,104,2067,401,30,9
